track,artist,minutes,plays
Indigo,NXCRE,1182.01825,351
,,627.97465,348
Teri Mitti,B Praak,476.29788333333335,112
NEXT!,NCTS,402.27645,277
Stars Go Down,Nordgroove,363.1752833333333,120
Thunder,Imagine Dragons,324.2318,125
Day One (Interstellar Theme),Hans Zimmer,297.65345,121
"Tenu Sang Rakhna (From ""Jigra"")",Achint,263.3784166666667,84
לצאת מדיכאון,יגל אושרי,231.31341666666665,91
Travel,Ennja,215.69205,82
Not Afraid,Eminem,212.48485,71
beibs in the trap,Travis Scott,205.77183333333332,71
עם ישראל חי,Eyal Golan,205.22135,93
"O Maahi (From ""Dunki"")",Pritam,200.64376666666666,82
Headlights (feat. KIDDO),Alok,200.59265,95
My Time,Fabolous,196.99045,141
Y.M.C.A.,Village People,188.61615,51
Tu Bhoola Jise,Amaal Mallik,171.7831,48
Blow Out Crackers Diwali - Remix,Diljit Dosanjh,165.94796666666667,55
"Desh Mere (From ""Bhuj The Pride Of India"")",Arijit Singh,163.8025,72
The Imitation Game,Alexandre Desplat,157.3722,70
Malhari,Vishal Dadlani,154.00658333333334,47
Praise God,Kanye West,153.52605,50
Bloody Mary - Instrumental Slowed,ceZk,126.43151666666667,69
interstellar.,pandora.,123.26876666666666,96
Interstellar,Umbra,122.77261666666666,71
Low Life (feat. The Weeknd),Future,114.68626666666667,30
Luminary,Joel Sunny,110.33001666666667,67
Aye Khuda,Salim Merchant,110.29233333333333,24
BUTTERFLY EFFECT,Travis Scott,109.77111666666667,42
Runnin,21 Savage,108.82455,42
Mary On A Cross,Ghost,108.25678333333333,53
Emergency,DJ Johnrey,106.41583333333334,91
Focus,KOLIDESCOPES,103.48753333333333,32
Skyfall,Adele,102.0923,26
Animals x Starboy - slowed to perfection,TommyMuzzic,100.3864,37
The Future Bass,Evgeny Bardyuzha,95.87903333333334,59
STARGAZING,Travis Scott,93.53673333333333,27
FE!N (feat. Playboi Carti),Travis Scott,87.34908333333334,42
First Step,Hans Zimmer,86.85445,61
"The Roar (From ""Chhaava"")",A.R. Rahman,86.34236666666666,43
TELEKINESIS (feat. SZA & Future),Travis Scott,82.07608333333333,25
Nightcrawler (feat. Swae Lee & Chief Keef),Travis Scott,81.3653,25
Take Me to Church,Hozier,80.5796,46
A-Team,Travis Scott,78.98071666666667,33
Amplifier,Imran Khan,76.96886666666667,20
