played_at,track,artist,ms_played,spotify_uri,source,date
2024-07-28 13:39:00+00:00,We,Fjodor,1640,,streaming_history,2024-07-28
2024-07-29 00:14:00+00:00,We,Fjodor,18119,,streaming_history,2024-07-29
2024-07-29 00:17:00+00:00,HIGHEST IN THE ROOM,Travis Scott,175720,,streaming_history,2024-07-29
2024-07-29 00:20:00+00:00,BUTTERFLY EFFECT,Travis Scott,124719,,streaming_history,2024-07-29
2024-07-29 00:34:00+00:00,BUTTERFLY EFFECT,Travis Scott,65852,,streaming_history,2024-07-29
2024-07-29 00:49:00+00:00,STARGAZING,Travis Scott,205648,,streaming_history,2024-07-29
2024-07-29 14:06:00+00:00,Rasputin,Majestic,1097,,streaming_history,2024-07-29
2024-07-29 14:06:00+00:00,STARGAZING,Travis Scott,4801,,streaming_history,2024-07-29
2024-07-29 14:07:00+00:00,Rasputin,Majestic,216,,streaming_history,2024-07-29
2024-07-29 14:07:00+00:00,Ava,Famy,57301,,streaming_history,2024-07-29
2024-07-29 14:09:00+00:00,עם ישראל חי,Eyal Golan,6873,,streaming_history,2024-07-29
2024-07-29 14:09:00+00:00,BLACK NIGGA,LIL BLACK'OUT,130902,,streaming_history,2024-07-29
2024-07-29 14:10:00+00:00,Boom Boom Pow,Black Eyed Peas,47672,,streaming_history,2024-07-29
2024-07-29 14:11:00+00:00,Low Life (feat. The Weeknd),Future,1547,,streaming_history,2024-07-29
2024-07-29 14:11:00+00:00,Ride,Twenty One Pilots,96350,,streaming_history,2024-07-29
2024-07-29 14:11:00+00:00,Outside (Better Days),Blueface,1575,,streaming_history,2024-07-29
2024-07-29 14:11:00+00:00,Aston Martin Truck,Roddy Ricch,4961,,streaming_history,2024-07-29
2024-07-29 14:12:00+00:00,Miss The Rage,Trippie Redd,338,,streaming_history,2024-07-29
2024-07-29 14:12:00+00:00,Outside (Better Days),Blueface,8380,,streaming_history,2024-07-29
2024-07-29 14:12:00+00:00,Aston Martin Truck,Roddy Ricch,2987,,streaming_history,2024-07-29
2024-07-29 14:20:00+00:00,Aston Martin Truck,Roddy Ricch,180240,,streaming_history,2024-07-29
2024-07-29 20:59:00+00:00,Rasputin,Majestic,420,,streaming_history,2024-07-29
2024-07-29 20:59:00+00:00,Rasputin,Majestic,1248,,streaming_history,2024-07-29
2024-07-29 21:01:00+00:00,BLACK NIGGA,LIL BLACK'OUT,130902,,streaming_history,2024-07-29
2024-07-29 21:04:00+00:00,STARGAZING,Travis Scott,2691,,streaming_history,2024-07-29
2024-07-29 21:04:00+00:00,עם ישראל חי,Eyal Golan,208903,,streaming_history,2024-07-29
